;l,Blow my mind!,뿅가게 하라!
tooltipCI,Hello! Virlit,안녕! Virlit
signinWelcomeScrpt1,Blow my mind!,날 뿅가게 하라!
signinWelcomeScrpt2,This is the very first project.,그 첫번째 프로젝트.
signInSNS,We recommend signing in with your SNS account.,SNS 로그인을 추천합니다.
rememberMe,Remember me,항상 로그인
signinBtnNext,Next,다음
tooltpGoogle,Sign in with Google account,구글로 로그인
tooltpFaceBook,Sign in with Facebook account,페이스북으로 로그인
createAccount,Create account,새로운 계정을 만듭니다.
beAMember,Be a member,회원가입
msgDefaultCategory,No Category,카테고리 없음
gender,Gender,성별
genderMale,Gentleman,남
genderFemale,Lady,여
msgEmail,Email,이메일
msgPassword,Password,신중하게 입력해주세요.
signup,Sign up,가입하기
signupWelcomeScript1,"If you wanna remember to say,",당신의 기억에 대해 말하고 싶다면
signupWelcomeScript2,Create your account.,계정을 생성하세요.
email,Input your email,가입할 이메일 주소를 입력하세요.
password,Create a password,비밀번호를 입력하세요.
optionInformScript,These will help us to ensure you get the best experience on our website.,보다 개인화 된 서비스를 제공을 위해 입력해 주세요.
birthYear,Birth Year,탄생연도
birthYearPlaceholder,ex. 1988,"4자리, 예) 1988"
signupPolicyClick,"By clicking Sign up, you agree to our Terms and that you have read our Data Use Policy, including our Cookie Use.","이용약관, 쿠키사용에 동의할 경우 가입하기 버튼을 눌러주세요."
signupPolicyPwd,"The password is fully encrypted and we can't verify it. If you forget, we’ll send a random password to your email.","비밀번호는 완전히 암호화되어 저희도 확인할 수 없습니다. 잊어버린 경우, 가입 시 입력한 이메일 주소로 임의의 비밀번호를 전송합니다."
signIn,Sign in,로그인
signOut,Sign out,로그아웃
signOutMsg,You should sign out at the end.,종료시 꼭 로그아웃하세요.
profile,Profile,내 정보
write,Write,글쓰기
love,Love,좋아하는 문장
save,Sayv,저장하기
msgSelectCategory,Select the category,카테고리 선택
category,Category,카테고리
welcome,How do you do?,잘 지내시나요?
forgotPwd,I forgot password.,비밀번호가 기억나지 않아요
tooltipMsgLove, likes,명이 좋아합니다
tooltipSorting,Sorting from newest to oldest,최신순
tooltipSortingAlt,Sorting from oldest to newest,과거순
